item,org,date,quantity
3959294,42023714,2018-04-01,10874.0
3959294,42023714,2018-05-01,7289.0
3959294,42023714,2018-06-01,7745.0
3959294,42023714,2018-07-01,10055.0
3959294,42023714,2018-08-01,8640.0
3959294,42023714,2018-09-01,6910.0
3959294,42023714,2018-10-01,9419.0
3959294,42023714,2018-11-01,7556.0
3959294,42023714,2018-12-01,5055.0
3959294,42023714,2019-01-01,4788.0
3959294,42023714,2019-02-01,4330.0
3959294,42023714,2019-03-01,6306.0
3959294,42023714,2019-04-01,7459.0
3959294,42023714,2019-05-01,6253.0
3959294,42023714,2019-06-01,6268.0
3959294,42023714,2019-07-01,15344.0
3959294,42023714,2019-08-01,7354.0
3959294,42023714,2019-09-01,7323.0
3959294,42023714,2019-10-01,7605.0
3959294,42023714,2019-11-01,5697.0
3959294,42023714,2019-12-01,4532.0
3959294,42023714,2020-01-01,6539.0
3959294,42023714,2020-02-01,7658.0
3959294,42023714,2020-03-01,5294.0
3959294,42023714,2020-04-01,5484.0
3959294,42023714,2020-05-01,4778.0
3959294,42023714,2020-06-01,8258.0
3959294,42023714,2020-07-01,6067.0
3959294,42023714,2020-08-01,6956.0
3959294,42023714,2020-09-01,7376.0
3959294,42023714,2020-10-01,8395.0
3959294,42023714,2020-11-01,7777.0
3959294,42023714,2020-12-01,7797.0
3959294,42023714,2021-01-01,5780.0
3959294,42023714,2021-02-01,7018.0
3959313,1617388,2014-03-01,1815.0
3959313,1617388,2014-04-01,2275.0
3959313,1617388,2014-05-01,1843.0
3959313,1617388,2014-06-01,2254.0
3959313,1617388,2014-07-01,2123.0
3959313,1617388,2014-08-01,2352.0
3959313,1617388,2014-09-01,2356.0
3959313,1617388,2014-10-01,2940.0
3959313,1617388,2014-11-01,2666.0
3959313,1617388,2014-12-01,2441.0
3959313,1617388,2015-01-01,1701.0
3959313,1617388,2015-02-01,2480.0
3959313,1617388,2015-03-01,2478.0
3959313,1617388,2015-04-01,2200.0
3959313,1617388,2015-05-01,1953.0
3959313,1617388,2015-06-01,2378.0
3959313,1617388,2015-07-01,2807.0
3959313,1617388,2015-08-01,3373.0
3959313,1617388,2015-09-01,2858.0
3959313,1617388,2015-10-01,2686.0
3959313,1617388,2015-11-01,2383.0
3959313,1617388,2015-12-01,3404.0
3959313,1617388,2016-01-01,1676.0
3959313,1617388,2016-02-01,2970.0
3959313,1617388,2016-03-01,2878.0
3959313,1617388,2016-04-01,2666.0
3959313,1617388,2016-05-01,2866.0
3959313,1617388,2016-06-01,3338.0
3959313,1617388,2016-07-01,3830.0
3959313,1617388,2016-08-01,3294.0
3959313,1617388,2016-09-01,3724.0
3959313,1617388,2016-10-01,3451.0
3959313,1617388,2016-11-01,3719.0
3959313,1617388,2016-12-01,3676.0
3959313,1617388,2017-01-01,1566.0
3959313,1617388,2017-02-01,2981.0
3959313,1617388,2017-03-01,3517.0
3959313,1617388,2017-04-01,2718.0
3959313,1617388,2017-05-01,2981.0
3959313,1617388,2017-06-01,3400.0
3959313,1617388,2017-07-01,3220.0
3959313,1617388,2017-08-01,3722.0
3959313,1617388,2017-09-01,1935.0
3959313,1617388,2017-10-01,1754.0
3959313,1617388,2017-11-01,2562.0
3959313,1617388,2017-12-01,2552.0
3959313,1617388,2018-01-01,1824.0
3959313,1617388,2018-02-01,2420.0
3959313,1617388,2018-03-01,1927.0
3959313,1617388,2018-04-01,2977.0
3959313,1617388,2018-05-01,2668.0
3959313,1617388,2018-06-01,3177.0
3959313,1617388,2018-07-01,3060.0
3959313,1617388,2018-08-01,3614.0
3959313,1617388,2018-09-01,3123.0
3959313,1617388,2018-10-01,3705.0
3959313,1617388,2018-11-01,3275.0
3959313,1617388,2018-12-01,2074.0
3959313,1617388,2019-01-01,1781.0
3959313,1617388,2019-02-01,2301.0
3959313,1617388,2019-03-01,2842.0
3959313,1617388,2019-04-01,2180.0
3959313,1617388,2019-05-01,3231.0
3959313,1617388,2019-06-01,3077.0
3959313,1617388,2019-07-01,4642.0
3959313,1617388,2019-08-01,3520.0
3959313,1617388,2019-09-01,2923.0
3959313,1617388,2019-10-01,2649.0
3959313,1617388,2019-11-01,2410.0
3959313,1617388,2019-12-01,3969.0
3959313,1617388,2020-01-01,1457.0
3959313,1617388,2020-02-01,1948.0
3959313,1617388,2020-03-01,2586.0
3959313,1617388,2020-04-01,990.0
3959313,1617388,2020-05-01,1986.0
3959313,1617388,2020-06-01,2928.0
3959313,1617388,2020-07-01,2948.0
3959313,1617388,2020-08-01,2198.0
3959313,1617388,2020-09-01,2478.0
3959313,1617388,2020-10-01,3629.0
3959313,1617388,2020-11-01,3098.0
3959313,1617388,2020-12-01,3090.0
3959313,1617388,2021-01-01,1425.0
3959313,1617388,2021-02-01,2483.0
3959313,1619228,2014-03-01,1842.0
3959313,1619228,2014-04-01,1876.0
