,bid2val,N,alpha,gamma,egreedy,design,asynchronous,feedback,num_actions,counterfactual
6,1.0,6,0.1,0.0,1,0,1,0,16,0.0
7,0.8,2,0.1,0.99,0,0,1,0,6,0.0
8,0.9333333333333333,6,0.1,0.99,0,1,1,1,16,1.0
9,0.3333333333333333,2,0.1,0.0,1,1,1,1,16,1.0
10,0.8,2,0.01,0.0,1,0,1,0,6,0.0
11,0.2,2,0.1,0.0,1,1,1,1,6,1.0
12,0.2,2,0.1,0.0,0,1,1,0,6,0.0
13,0.8,2,0.01,0.0,1,0,0,1,6,0.0
14,0.8,6,0.1,0.0,1,0,0,0,6,0.0
15,0.2,2,0.1,0.99,0,1,0,1,6,0.0
16,0.8,6,0.1,0.0,1,0,1,0,6,0.0
17,0.8,2,0.01,0.0,0,0,1,1,6,1.0
18,0.9333333333333333,6,0.1,0.99,0,1,1,0,16,0.0
19,1.0,6,0.01,0.0,1,0,0,0,6,0.0
20,0.8,2,0.01,0.0,0,0,1,0,6,0.0
21,0.5333333333333333,2,0.01,0.99,1,1,1,1,16,1.0
0,0.4,2,0.1,0.99,1,1,1,1,16,1.0
1,1.0,6,0.01,0.0,1,1,0,1,6,0.0
2,0.8,6,0.01,0.0,0,0,0,0,6,0.0
3,0.9333333333333333,6,0.01,0.0,1,1,1,1,16,1.0
4,1.0,2,0.01,0.99,1,1,0,0,16,0.0
5,0.8,6,0.01,0.0,0,1,1,1,6,1.0
6,0.9333333333333333,2,0.1,0.99,1,0,1,0,16,0.0
7,0.9333333333333333,6,0.1,0.99,0,1,1,0,16,0.0
8,1.0,2,0.1,0.0,0,1,0,1,16,0.0
9,0.9333333333333333,2,0.1,0.0,1,0,1,0,16,0.0
10,1.0,6,0.1,0.0,0,1,0,1,6,0.0
11,0.8,6,0.1,0.0,0,1,1,0,6,0.0
12,0.9333333333333333,2,0.01,0.99,0,0,0,0,16,0.0
13,0.8,6,0.1,0.0,0,0,1,0,6,0.0
14,0.8,2,0.1,0.99,1,1,0,0,6,0.0
15,0.8,6,0.01,0.0,0,0,1,0,6,0.0
16,0.9333333333333333,6,0.01,0.99,1,0,1,0,16,0.0
17,0.8,6,0.1,0.0,1,1,1,0,6,0.0
18,0.8,6,0.01,0.0,0,1,1,0,6,0.0
19,0.4,2,0.1,0.0,1,1,1,1,6,1.0
20,0.8,2,0.01,0.99,1,0,1,1,6,1.0
21,1.0,2,0.01,0.99,0,1,0,0,6,0.0
22,1.0,6,0.01,0.0,0,1,0,1,16,0.0
0,0.8,6,0.1,0.99,1,0,1,1,6,1.0
1,0.9333333333333333,6,0.01,0.99,1,0,1,0,16,0.0
2,1.0,2,0.1,0.0,1,0,1,1,6,1.0
0,0.9333333333333333,2,0.1,0.99,0,0,0,0,16,0.0
1,0.26666666666666666,2,0.1,0.0,1,1,1,0,16,0.0
2,0.8,6,0.1,0.99,0,0,1,0,6,0.0
3,0.8,2,0.01,0.0,1,0,0,0,6,0.0
4,1.0,6,0.1,0.99,0,1,0,0,6,0.0
5,1.0,2,0.1,0.0,0,1,1,1,6,1.0
6,0.8,6,0.1,0.99,1,0,1,0,6,0.0
7,1.0,2,0.01,0.99,1,1,0,1,16,0.0
8,1.0,6,0.01,0.99,0,1,0,1,6,0.0
9,1.0,6,0.01,0.99,1,1,0,0,6,0.0
0,0.9333333333333333,6,0.01,0.99,1,0,1,1,16,1.0
1,0.8,2,0.1,0.0,1,0,1,0,6,0.0
2,1.0,6,0.1,0.99,0,1,0,0,16,0.0
3,0.8,2,0.01,0.99,1,1,1,0,16,0.0
4,0.6666666666666666,2,0.1,0.0,1,1,0,0,16,0.0
5,1.0,6,0.01,0.99,1,1,0,0,6,0.0
6,0.9333333333333333,2,0.1,0.0,0,1,0,1,16,0.0
7,1.0,6,0.1,0.0,1,1,0,0,16,0.0
8,0.9333333333333333,2,0.01,0.99,1,0,0,1,16,0.0
9,1.0,6,0.01,0.0,1,1,0,0,6,0.0
10,1.0,2,0.01,0.0,1,1,0,0,6,0.0
0,0.8,6,0.01,0.99,1,0,1,0,6,
1,0.6666666666666666,2,0.1,0.0,0,1,0,1,16,
2,1.0,2,0.1,0.0,1,1,0,0,6,
3,0.8,6,0.1,0.99,0,1,1,0,6,
4,0.8,2,0.1,0.0,1,0,0,1,6,
5,0.8,6,0.01,0.0,1,0,0,0,6,
6,0.9333333333333333,6,0.01,0.99,0,0,0,1,16,
7,1.0,6,0.1,0.0,1,1,0,1,16,
8,0.8,2,0.1,0.99,1,0,1,1,6,
9,0.6,2,0.01,0.99,1,1,1,0,6,
10,1.0,6,0.01,0.0,0,1,0,1,16,
